sample	colony_id	status	lat	lon	year	status_year
12_1	401	healthy	4.3287322	50.9341625	12	healthy_12
12_10	2498	healthy	4.3091107	51.1712275	12	healthy_12
12_100	1829	healthy	5.3076895	51.2305657	12	healthy_12
12_101	1829	healthy	5.3076895	51.2305657	12	healthy_12
12_102	1829	healthy	5.3076895	51.2305657	12	healthy_12
12_103	531	wl	4.098112	51.0312293	12	wl_12
12_104	48	healthy	2.8647185	51.0333408	12	healthy_12
12_105	677	wl	3.090295389	51.1846386	12	wl_12
12_106	677	wl	3.090295389	51.1846386	12	wl_12
12_107	677	wl	3.090295389	51.1846386	12	wl_12
12_108	677	wl	3.090295389	51.1846386	12	wl_12
12_109	677	wl	3.090295389	51.1846386	12	wl_12
12_11	866	wl	2.808607209	50.88120105	12	wl_12
12_110	677	wl	3.090295389	51.1846386	12	wl_12
12_111	749	healthy	4.195149073	50.8363077	12	healthy_12
12_112	749	healthy	4.195149073	50.8363077	12	healthy_12
12_113	749	healthy	4.195149073	50.8363077	12	healthy_12
12_114	749	healthy	4.195149073	50.8363077	12	healthy_12
12_115	749	healthy	4.195149073	50.8363077	12	healthy_12
12_116	749	healthy	4.195149073	50.8363077	12	healthy_12
12_117	1796	wl	5.3076895	51.2305657	12	wl_12
12_118	1796	wl	5.3076895	51.2305657	12	wl_12
12_119	1468	healthy	5.101581003	50.89519195	12	healthy_12
12_12	866	healthy	2.808607209	50.88120105	12	healthy_12
12_120	1468	healthy	5.101581003	50.89519195	12	healthy_12
12_121	2245	wl	3.341426328	50.99996475	12	wl_12
12_122	48	healthy	2.8647185	51.0333408	12	healthy_12
12_123	2487	wl	3.8855494	51.0068804	12	wl_12
12_124	2487	wl	3.8855494	51.0068804	12	wl_12
12_125	2487	wl	3.8855494	51.0068804	12	wl_12
12_126	2487	wl	3.8855494	51.0068804	12	wl_12
12_127	1780	healthy	3.9911114	51.1042159	12	healthy_12
12_128	1780	healthy	3.9911114	51.1042159	12	healthy_12
12_129	1780	healthy	3.9911114	51.1042159	12	healthy_12
12_13	1699	healthy	4.4456359	51.134377	12	healthy_12
12_130	1780	healthy	3.9911114	51.1042159	12	healthy_12
12_131	2598	wl	4.098112	51.0312293	12	wl_12
12_132	2598	wl	4.098112	51.0312293	12	wl_12
12_133	2598	wl	4.098112	51.0312293	12	wl_12
12_134	2598	wl	4.098112	51.0312293	12	wl_12
12_135	533	healthy	4.299072942	51.0122466	12	healthy_12
12_136	533	healthy	4.299072942	51.0122466	12	healthy_12
12_137	533	healthy	4.299072942	51.0122466	12	healthy_12
12_138	533	healthy	4.299072942	51.0122466	12	healthy_12
12_139	2699	wl	2.972576947	51.23890495	12	wl_12
12_14	1699	wl	4.4456359	51.134377	12	wl_12
12_140	2699	wl	2.972576947	51.23890495	12	wl_12
12_141	2876	healthy	2.8647185	51.0333408	12	healthy_12
12_142	2876	healthy	2.8647185	51.0333408	12	healthy_12
12_143	1789	wl	5.0893974	51.0681628	12	wl_12
12_144	1789	wl	5.0893974	51.0681628	12	wl_12
12_145	1468	healthy	5.101581003	50.89519195	12	healthy_12
12_146	1468	healthy	5.101581003	50.89519195	12	healthy_12
12_147	2292	wl	5.5540751	51.0933149	12	wl_12
12_148	2292	wl	5.5540751	51.0933149	12	wl_12
12_149	1468	healthy	5.101581003	50.89519195	12	healthy_12
12_15	1762	healthy	4.771431808	50.8241245	12	healthy_12
